Mon Sep  2 18:04:27 2024    profiler_stats.prof

         4895102 function calls (4595255 primitive calls) in 5.436 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
22223/21838    0.011    0.000    0.014    0.000 abstract.py:124(__eq__)
     1163    0.003    0.000    0.014    0.000 builder.py:769(store)
   112612    0.014    0.000    0.014    0.000 pprint.py:95(__lt__)
       40    0.000    0.000    0.014    0.000 errors.py:332(code)
      226    0.000    0.000    0.014    0.000 base.py:1183(__init__)
     3353    0.002    0.000    0.014    0.000 ffi.py:372(__del__)
     1032    0.001    0.000    0.014    0.000 ffi.py:260(close)
      670    0.001    0.000    0.014    0.000 functools.py:904(wrapper)
      689    0.011    0.000    0.014    0.000 analysis.py:81(def_reach)
      226    0.001    0.000    0.013    0.000 base.py:1212(__call__)
5092/4320    0.003    0.000    0.013    0.000 misc.py:63(unliteral)
     7666    0.003    0.000    0.013    0.000 templates.py:1314(new_registrations)
     1040    0.001    0.000    0.013    0.000 compiler_lock.py:15(release)
      638    0.005    0.000    0.013    0.000 instructions.py:68(__init__)
      408    0.000    0.000    0.013    0.000 lowering.py:1556(incref)
       90    0.000    0.000    0.013    0.000 lowering.py:832(fold_call_args)
     2453    0.002    0.000    0.013    0.000 functions.py:230(_unlit_non_poison)
    46761    0.013    0.000    0.013    0.000 {method 'startswith' of 'str' objects}
     9340    0.010    0.000    0.013    0.000 contextlib.py:104(__init__)
      226    0.000    0.000    0.013    0.000 base.py:1200(_has_loc)
  658/643    0.000    0.000    0.012    0.000 ir.py:1187(get_exact)
      467    0.000    0.000    0.012    0.000 passmanagers.py:744(initialize)
      690    0.000    0.000    0.012    0.000 ir.py:270(get)
      101    0.000    0.000    0.012    0.000 base.py:983(_make_helper)
        2    0.000    0.000    0.012    0.006 compiler.py:299(run_frontend)
